episode,regime,protocol,method,iterations,converged,inner_success,objective,calls,scale_hat,floor_hit,movement_prior_units
08fd72196c805b534497921d,generalized_translation,multiple_forces,profile_map,40,True,True,-29.06784954732314,360,0.025355815760745415,False,0.043256386871291665
092b0c80797e8497d883aa03,generalized_translation,bounce,huber,3,True,True,0.16711104754253436,25,0.125,False,0.00012282112106494467
092b0c80797e8497d883aa03,generalized_translation,bounce,cauchy,3,True,True,0.16710474354794363,19,0.125,False,0.00012278354148633435
092b0c80797e8497d883aa03,generalized_translation,bounce,profile_map,24,True,True,-32.11781268839253,380,0.017856043409519348,False,9.830228144963046e-05
092b0c80797e8497d883aa03,setup_translation,bounce,huber,3,True,True,0.5829574229293051,14,0.125,False,0.0001409368061647261
092b0c80797e8497d883aa03,setup_translation,bounce,cauchy,5,True,True,0.5828021576695427,26,0.125,False,0.00014036118178668757
092b0c80797e8497d883aa03,setup_translation,bounce,profile_map,11,True,True,-24.888142776950488,117,0.04408194369621372,False,0.00012043438552567751
092b4b85d9ded34a19106a98,generalized_translation,bounce,huber,3,True,True,0.15404553721291342,19,0.125,False,4.5149973068635865e-11
092b4b85d9ded34a19106a98,generalized_translation,bounce,cauchy,4,True,True,0.15404039425656552,18,0.125,False,4.772563098756169e-09
092b4b85d9ded34a19106a98,generalized_translation,bounce,profile_map,25,True,True,-31.144550472102157,335,0.020258272584717633,False,1.4046472853462834e-05
092b4b85d9ded34a19106a98,setup_translation,bounce,huber,3,True,True,0.7484194339355137,17,0.125,False,2.3288659454102794e-11
092b4b85d9ded34a19106a98,setup_translation,bounce,cauchy,4,True,True,0.7480303241344772,30,0.125,False,1.2996866592705222e-06
092b4b85d9ded34a19106a98,setup_translation,bounce,profile_map,13,True,True,-23.562877209758717,108,0.05226045609764002,False,1.106163007227336e-05
0948c8266d8fc105ca06b3aa,generalized_translation,multiple_forces,huber,4,True,True,0.45043115354000385,27,0.125,False,4.978023009785622e-10
0948c8266d8fc105ca06b3aa,generalized_translation,multiple_forces,cauchy,5,True,True,0.45035143401975575,28,0.125,False,9.309322975585709e-06
0948c8266d8fc105ca06b3aa,generalized_translation,multiple_forces,profile_map,36,True,True,-26.27283825961984,295,0.036996027850943906,False,0.014396529635690523
098f6eb6986dd1bc2f99cdc1,generalized_translation,unforced_slide,huber,3,True,True,3.1044846443265617,24,0.125,False,0.001627956468127706
098f6eb6986dd1bc2f99cdc1,generalized_translation,unforced_slide,cauchy,5,True,True,3.1015034285763496,32,0.125,False,0.001551239880904681
098f6eb6986dd1bc2f99cdc1,generalized_translation,unforced_slide,profile_map,29,True,True,-18.49034334931902,244,0.08447588142183675,False,0.007019229288841096
0a31698483a14d228791019b,generalized_translation,multiple_forces,huber,3,True,True,0.4568315672999652,27,0.125,False,8.486760690793762e-07
0a31698483a14d228791019b,generalized_translation,multiple_forces,cauchy,5,True,True,0.4567649763035093,26,0.125,False,2.0255798470099374e-05
0a31698483a14d228791019b,generalized_translation,multiple_forces,profile_map,30,True,True,-27.675800563266012,305,0.03059424691965736,False,0.009772455937306513
0a4aa585e764277c6dd0b045,generalized_translation,unforced_slide,huber,4,True,True,1.046245782173571,18,0.125,False,0.0002716019453693717
0a4aa585e764277c6dd0b045,generalized_translation,unforced_slide,cauchy,4,True,True,1.046058473412735,28,0.125,False,0.0002630208864092261
0a4aa585e764277c6dd0b045,generalized_translation,unforced_slide,profile_map,22,True,True,-24.283203727059096,152,0.044975160344611693,False,0.003699261595251696
0a4e7c583f6b08ce6477d7a3,generalized_translation,bounce,huber,3,True,True,0.8975838697478742,15,0.125,False,1.1705104229125928e-09
0a4e7c583f6b08ce6477d7a3,generalized_translation,bounce,cauchy,4,True,True,0.8975691922807205,15,0.125,False,6.857533340992142e-08
0a4e7c583f6b08ce6477d7a3,generalized_translation,bounce,profile_map,31,True,True,-29.257816558026267,355,0.023475538721965533,False,8.734025050319981e-05
0a4e7c583f6b08ce6477d7a3,setup_translation,bounce,huber,3,True,True,1.0322191759372288,15,0.125,False,6.420859970252863e-11
0a4e7c583f6b08ce6477d7a3,setup_translation,bounce,cauchy,4,True,True,1.0321691711776415,15,0.125,False,5.100617198746271e-07
0a4e7c583f6b08ce6477d7a3,setup_translation,bounce,profile_map,7,True,True,-26.547702314905923,135,0.032950400896607154,False,6.980203205999994e-05
0a5f6a3234299fd982d32fac,generalized_translation,multiple_forces,huber,3,True,True,1.6255646679779134,22,0.125,False,2.5016303856343128e-05
0a5f6a3234299fd982d32fac,generalized_translation,multiple_forces,cauchy,4,True,True,1.6255128963819947,32,0.125,False,4.649365767387677e-05
0a5f6a3234299fd982d32fac,generalized_translation,multiple_forces,profile_map,44,True,True,-26.50735928707824,370,0.030571874656453453,False,0.028934002276964077
0aac37ad0b8193a1f85eeefc,generalized_translation,bounce,huber,2,True,True,0.08385828457662553,9,0.125,False,2.628103245766959e-10
0aac37ad0b8193a1f85eeefc,generalized_translation,bounce,cauchy,3,True,True,0.08385175181893324,11,0.125,False,4.882286547706772e-08
0aac37ad0b8193a1f85eeefc,generalized_translation,bounce,profile_map,21,True,True,-32.11095111991394,225,0.018062615499805187,False,9.853235165544253e-07
0aac37ad0b8193a1f85eeefc,setup_translation,bounce,huber,2,True,True,4.084615105406588,6,0.125,False,2.069544977181553e-11
0aac37ad0b8193a1f85eeefc,setup_translation,bounce,cauchy,4,True,True,4.0679169388700185,14,0.125,False,2.8664219645544817e-05
0aac37ad0b8193a1f85eeefc,setup_translation,bounce,profile_map,13,True,True,-16.55179293225826,87,0.12631007983350137,False,1.5366761435428104e-08
0b23592aa92d3f0e83181cfa,generalized_translation,multiple_forces,huber,3,True,True,0.9073992608212005,22,0.125,False,1.3823902253075802e-07
0b23592aa92d3f0e83181cfa,generalized_translation,multiple_forces,cauchy,4,True,True,0.9068092086635261,32,0.125,False,0.00012374809014208623
0b23592aa92d3f0e83181cfa,generalized_translation,multiple_forces,profile_map,26,True,True,-23.5715170280802,230,0.05087624507433975,False,0.03592678119805957
0b8b637795fd965eea6917fd,generalized_translation,multiple_forces,huber,4,True,True,0.8835863398906452,31,0.125,False,9.606403821199762e-05
0b8b637795fd965eea6917fd,generalized_translation,multiple_forces,cauchy,6,True,True,0.8835007640832033,45,0.125,False,6.244096924847332e-05
0b8b637795fd965eea6917fd,generalized_translation,multiple_forces,profile_map,46,True,True,-26.528922279800913,560,0.03346716519850724,False,0.11198759469850322
0bd0536d0cd3fd9ffe733649,generalized_translation,bounce,huber,3,True,True,0.4430866895928517,13,0.125,False,0.001850583027043303
0bd0536d0cd3fd9ffe733649,generalized_translation,bounce,cauchy,4,True,True,0.44306160084813906,17,0.125,False,0.0018508577547136247
0bd0536d0cd3fd9ffe733649,generalized_translation,bounce,profile_map,32,True,True,-28.82305532179801,300,0.0263564502670129,False,0.0017656811907527051
